Code-barres,Nom,Marque,Catégorie,Quantité,Prix d'achat,Prix de vente
26044507,"Olives noires dénoyautées 200 g","L'Olivaé","Black Pitted Olives",1,,
3223921800062,"Sauce bolognaise halal 400 g","Zakia","Épicerie",1,,
6111094000228,"Couscous, fin 1 kg","Dari","Épicerie",1,,
3439495126723,"Macédoine de légumes 800 g","Rochambeau","Épicerie",1,,
3439495126808,"Petits pois carottes à l’éruvée","","Épicerie",1,,
3439495126846,"Petits Pois à l'étuvée","Rochambeau","Épicerie",1,,
3439497014295,"Épinards branches 530 g","Rochambeau","Épicerie",1,,
3439495124095,"Maïs doux en grain 150 g (égoutté : 140 g","","Épicerie",1,,
3439495124064,"Maïs doux en grains 300 g (égoutté : 285 g)","Rochambeau","Épicerie",1,,
3038352880305,"Le Ravioli pur boeuf 800 g","Panzani","Épicerie",1,,
3021690030792,"Ravioli à la sauce tomate 800 g","Douania Halal","Épicerie",1,,
3038352880206,"Ravioli pur bœuf  sans colorant ni conservateur 400 g","Panzani","Épicerie",1,,
3439497014004,"Petits pois a l'etuvee 280 g","Rochambeau","Épicerie",1,,
3439495126761,"Petit pois carottes à l etuvee","Rochambeau","Épicerie",1,,
3439495126686,"Macédoine de légumes 265 g","Rochambeau","Épicerie",1,,
3439495126525,"Flageolets verts extra fins","Rochambeau","Épicerie",1,,
3439495128772,"Haricot rouge 250 g","Rochambeau","Épicerie",1,,
3558820000030,"Chorba legumes et vermicelle","Laaroussa","Épicerie",1,,
4068706568404,"Champignons De Paris 230g","Aldi","Épicerie",1,,
3261055930422,"Le Cassoulet Mitonné 840g","William Saurin","Épicerie",1,,
3261055930439,"Le Cassoulet Mitonné 420 g","William Saurin","Épicerie",1,,
3439495127331,"Ravioli 400 g","Rochambeau","Épicerie",1,,
8006540715376,"Pampers taille 2","","",1,,
8700216227506,"Pampers taille 3","","",1,,
5944570022527,"Paquet de mouchoirs","","",1,,
5607015004150,"Papier toilette","","Hygiène",1,,
8021161002810,"Karina sopalin","","",1,,
3770030864053,"Maxi roll","","",1,,
3439495128659,"Produit inconnu","","",1,,
3439495126600,"Haricots verts","","",1,,
3439495127959,"Lentilles 400 g","Rochambeau","Prepared Lentils",1,,
3439495128352,"3439495128352 400 g","","",1,,
3439497012918,"Petit salé aux lentilles","Rochambeau","Salt Cured Pork Belly With Lentils",1,,
4068706960468,"Tomato ketchup 500 ml","Le Gusto","Légumes",1,,
8715700422718,"Tomato Ketchup 450 g","Heinz","Légumes",1,,
4068262002770,"Sauce Tomate À La Provençale 420 g","Aldi","Légumes",1,,
4068706043628,"Pasta sauce basilic","","Pâtes et céréales",1,,
4068706043611,"Sauce pour pâtes au basilic","Cucina Aldi","Épicerie",1,,
4068706043635,"Sauce Pour Pates À La Napolitaine","Cucina Nobile","Épicerie",1,,
26072128,"Velouté de Poireaux Pomme de terre 1litre","Les Printanières","Produits laitiers",1,,
26021447,"Velouté Potiron 1 l","Les Printanières","Potages",1,,
26019178,"Purée de Pomme de Terre en Flocons 500 g","Gourmaline","Légumes",1,,
3258565100063,"Farine de Blé 1 kg","Ecoprix","Épicerie",1,,
3276650034116,"Lentilles blondes 4mm 500 g ou 1 kg","Haudecœur","Blonde Lentils",1,,
6111094000198,"Cheveux d'Ange 500g","Dari","Pâtes et céréales",1,,
3760199923364,"Brisure de riz cassé 2 fois","","Riz",1,,
26019628,"Riz Basmati 1 kg","Bon-Ri","Riz",1,,
3276650010011,"Riz Rond 1 kg","Vivien Paille","Riz",1,,
3276650018666,"Brisure de riz","","Riz",1,,
3276650013746,"Riz long parfumé 1 kg","Riz Du Monde","Riz",1,,
3760199923937,"Riz long parfumé","Jasmine Flower","Riz",1,,
3038351907003,"Le renard semoule fine kg 1000 g","Le Renard","Pâtes et céréales",1,,
3038351907102,"Le renard semoule moyenne kg 1000 g","Le Renard","Pâtes et céréales",1,,
6111094000327,"Semoule  d'orge 1kg","Dari","Pâtes et céréales",1,,
4068706529009,"Spaghetti","","Pâtes et céréales",1,,
